Author Handle,ID,Age,Like Count,Fetched On,Action,Text
1rugerrudy,Ckq48neOaAW,76w,0,"""2024-05-15 18:59:18""",Post,⚠️YEAH ITS UPP MY SECOND MIXTAPE OUT ON ALL PLATFORMS #TGBG 🩸🩸 THE GOOD BAD GUY #OUTNOW ITS A BREIF SUMMARY OF HOW IM LIVING & HOW IM COMING 💯 14 TRACKS 🔥🔥🔥 TOLD YALL I HAD YALL LETS GOOOO RUN THEM STREAMS UP 💯S/O TO @damelebrane FA THE COVER ART 🖼️ AND EVERYONE ELSE WHO HELP AND WAS PART OF THIS PROJECT 💪🏾 @applemusic @spotify @youtube @iheartradio @tidal #LLMYBLEEDAZ #LLMUGOTTI #FREEPOPEEZY #FREEKJ #FREEYOSHI #FREEMADJAY
meezybleeda,Ckq48neOaAW-comment-64,76w,0,"""2024-05-15 18:59:18""",comment,🔥🔥🔥💯🎋
1rugerrudy,CmF0sdKsbxs,71w,0,"""2024-05-15 18:59:18""",Post,Life Of A Bleeda 🩸 This Shit Get Evil 🧟‍♂️ #LLDee #LLCliff #LLMugotti #LLFreezo #LLTmeezy #FreePoPeezy #FreeLicemetery
meezybleeda,CmF0sdKsbxs-comment-39,71w,7,"""2024-05-15 18:59:18""",comment,Mybleeda bt we leave sh*t on 🧟‍♂️ mode
1rugerrudy,CmpYgCCJN0S,69w,0,"""2024-05-15 18:59:18""",Post,I Be High as the expectations😶‍🌫️🥀
meezybleeda,CmpYgCCJN0S-comment-52,69w,1,"""2024-05-15 18:59:18""",comment,🩸♥️
1rugerrudy,CnagvexLK84,67w,0,"""2024-05-15 18:59:18""",Post,"Only the people who care about you
Can Hear you when you’re quite 🫶🏾"
1rugerrudy,CngC85pMJzW,66w,0,"""2024-05-15 18:59:18""",Post,Dark skinned but ima Golden Child🌟 #FreeJroc #Free54
1rugerrudy,CnX-3wYsXa6,67w,0,"""2024-05-15 18:59:18""",Post,After it happen It Neva Happened 🤫
1rugerrudy,Cp9YCnisv_n,58w,0,"""2024-05-15 18:59:18""",Post,"Too Many Cameras
so I barely lift my Ski up 🩸
I'll hop on a niqqa Song
& Make him sound like the Feature💯"
1rugerrudy,CpJQBLWsjsj,60w,0,"""2024-05-15 18:59:18""",Post,"Show me love in Glen Oaks
They Knoe i make dem ni??as Bleed🩸
But S#*! aint been da same
I been missing Cliff & Dee💔 #225Day #ForeverBleeding🩸"
meezybleeda,CpJQBLWsjsj-comment-62,60w,0,"""2024-05-15 18:59:18""",comment,Dabby🩸
1rugerrudy,CpmCK13sHrj,59w,0,"""2024-05-15 18:59:18""",Post,"Aint Going Fa Nun Bedda B Cautious
My Whole Squad structured 🩸
#FreeMyMembers #LLDaGuyz"
meezybleeda,CpmCK13sHrj-comment-33,59w,0,"""2024-05-15 18:59:18""",comment,💯k
1rugerrudy,CprXZbCsAD6,59w,0,"""2024-05-15 18:59:18""",Post,"Heart of a Lion Mind of a M3n@ce
Mind at ease but im at W@R
No pulling Gimmicks Or
Portraying a image B!t*h im Really Raw🩸
#FreeMyMembers #LLDaGuyz"
meezybleeda,CprXZbCsAD6-comment-60,59w,1,"""2024-05-15 18:59:18""",comment,🩸❤️
1rugerrudy,CqDOlo4upTt,57w,0,"""2024-05-15 18:59:18""",Post,RUGER 5.7 🔥🔥OUT NOW ON ALL PLATFORMS🤝🏾 3rd Project 🥉 The Process Continues @applemusic @spotify @youtube @iheartradio etc. #10 TRACKS 🩸SMACKER MUSIC !!! STRICTLY FOR THEM SMACKERS 💥💥💥🧟‍♂️🧟‍♂️ MURDA MUSIC BE THE GENERAL #DRILLMUSIC 🗣️🗣️ S/O @camchords @givemtheworkz_ @prodhenry8 @say.terrelle @highlightlifemedia #FREEMYMEMBERS #LLDaGuyz #HighLightLife #OUTNOW MERCH WILL BE AVAILABLE SOON 5.7
40lidae,CqDOlo4upTt-comment-37,57w,1,"""2024-05-15 18:59:18""",comment,BigR🀄️
meezybleeda,CqDOlo4upTt-comment-39,57w,1,"""2024-05-15 18:59:18""",comment,🔥🔥🔥❤️
1rugerrudy,C1WXZQlOi3Q,17w,0,"""2024-05-15 18:59:18""",Reel,The Grind Dont Stop Working EveryDay🩸 @hv3visual_ 💪🏾💯
1rugerrudy,CkwjrIbP2cX,76w,0,"""2024-05-15 18:59:18""",Reel,CITY RED 🩸 #OUTNOW 🔥 #LINKINBIO 🧟‍♂️THE GOOD BAD GUY ON ALL PLATFORMS #STRHATS🎩
