Author Handle,ID,Age,Like Count,Fetched On,Action,Text
1rugerrudy,Ckq48neOaAW,76w,0,"""2024-05-15 18:59:18""",Post,⚠️YEAH ITS UPP MY SECOND MIXTAPE OUT ON ALL PLATFORMS #TGBG 🩸🩸 THE GOOD BAD GUY #OUTNOW ITS A BREIF SUMMARY OF HOW IM LIVING & HOW IM COMING 💯 14 TRACKS 🔥🔥🔥 TOLD YALL I HAD YALL LETS GOOOO RUN THEM STREAMS UP 💯S/O TO @damelebrane FA THE COVER ART 🖼️ AND EVERYONE ELSE WHO HELP AND WAS PART OF THIS PROJECT 💪🏾 @applemusic @spotify @youtube @iheartradio @tidal #LLMYBLEEDAZ #LLMUGOTTI #FREEPOPEEZY #FREEKJ #FREEYOSHI #FREEMADJAY
itsridoybd,Ckq48neOaAW-comment-1,57w,0,"""2024-05-15 18:59:18""",comment,Bro kindly check your DM request please 🙏🙏🙏🙏🙏🙏🙏 there I have sent you an important message
powertecv,Ckq48neOaAW-comment-2,68w,0,"""2024-05-15 18:59:18""",comment,Please check your inbox
bdsowrov,Ckq48neOaAW-comment-3,69w,0,"""2024-05-15 18:59:18""",comment,Check your dm 🔥🔥
blueefacejunky,Ckq48neOaAW-comment-4,69w,0,"""2024-05-15 18:59:18""",comment,Put it on audiomack too
nancy_hn_0100,Ckq48neOaAW-comment-5,69w,0,"""2024-05-15 18:59:18""",comment,Promote it on @Thebillboards_records
btd.daedae4x,Ckq48neOaAW-comment-6,70w,0,"""2024-05-15 18:59:18""",comment,🩸
batonrouge.king.kingj,Ckq48neOaAW-comment-7,71w,0,"""2024-05-15 18:59:18""",comment,😈❤️‍🔥👿
canada.world_,Ckq48neOaAW-comment-8,72w,0,"""2024-05-15 18:59:18""",comment,Promote it on @warner_records
meek.df,Ckq48neOaAW-comment-9,73w,0,"""2024-05-15 18:59:18""",comment,That big hard homie 💪💪🔥
daesoma_,Ckq48neOaAW-comment-10,75w,0,"""2024-05-15 18:59:18""",comment,🔥
slymfukit,Ckq48neOaAW-comment-11,75w,0,"""2024-05-15 18:59:18""",comment,🔥🔥🔥🔥
_om_ji_rolan_,Ckq48neOaAW-comment-12,76w,0,"""2024-05-15 18:59:18""",comment,Dm us❤️ @thebillboardsrecords
official_ladoo4,Ckq48neOaAW-comment-13,76w,0,"""2024-05-15 18:59:18""",comment,DM US🎶 @THEBILLBOARDSRECORDS 1.1m
anju_kp20,Ckq48neOaAW-comment-14,76w,0,"""2024-05-15 18:59:18""",comment,Dm us❤️ @thebillboardsrecords
phatte400,Ckq48neOaAW-comment-15,76w,0,"""2024-05-15 18:59:18""",comment,🤟🏾🩸
akumicobain_promotion,Ckq48neOaAW-comment-16,76w,0,"""2024-05-15 18:59:18""",comment,Hii check my inbox 😍 😍 😍 🔥 🔥
lilbandz5900,Ckq48neOaAW-comment-17,76w,0,"""2024-05-15 18:59:18""",comment,🔥🔥🔥🔥🔥🔥💯
homixde_b,Ckq48neOaAW-comment-18,76w,0,"""2024-05-15 18:59:18""",comment,🩸
jayveezy15,Ckq48neOaAW-comment-19,76w,0,"""2024-05-15 18:59:18""",comment,🩸
thatsstu1700,Ckq48neOaAW-comment-20,76w,0,"""2024-05-15 18:59:18""",comment,🔥💯
resemulaa,Ckq48neOaAW-comment-21,76w,0,"""2024-05-15 18:59:18""",comment,🩸🩸
_bigdell._,Ckq48neOaAW-comment-22,76w,0,"""2024-05-15 18:59:18""",comment,🔥🔥🔥
directedby5ive,Ckq48neOaAW-comment-23,76w,0,"""2024-05-15 18:59:18""",comment,🔥🔥🔥
paperroutep,Ckq48neOaAW-comment-24,76w,0,"""2024-05-15 18:59:18""",comment,Free yoyo
lul_curt4x,Ckq48neOaAW-comment-25,76w,0,"""2024-05-15 18:59:18""",comment,🔥🔥
jatdabat,Ckq48neOaAW-comment-26,76w,0,"""2024-05-15 18:59:18""",comment,🔥🔥
